Entry,TicketClass,Sex,Age,Price,Order,Name,Ticket Number,Bank Balance
0,3,male,22,7,1,"Braund, Mr. Owen Harris",648155,74389
1,1,female,38,71,2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",119239,94932
1,3,female,26,8,3,"Heikkinen, Miss. Laina",411408,26146
1,1,female,35,53,4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",530093,35627
0,3,male,35,8,5,"Allen, Mr. William Henry",510583,60457
0,3,male,,8,6,"Moran, Mr. James",664358,30640
0,1,male,54,52,7,"McCarthy, Mr. Timothy J",169025,46924
0,3,male,2,21,8,"Palsson, Master. Gosta Leonard",312584,65437
1,3,female,27,11,9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",449130,52105
1,2,female,14,30,10,"Nasser, Mrs. Nicholas (Adele Achem)",948114,49403
1,3,female,4,17,11,"Sandstrom, Miss. Marguerite Rut",134574,55198
1,1,female,58,27,12,"Bonnell, Miss. Elizabeth",2006,45233
0,3,male,20,8,13,"Saundercock, Mr. William Henry",416537,25138
0,3,male,39,31,14,"Andersson, Mr. Anders Johan",349773,57868
0,3,female,14,8,15,"Vestrom, Miss. Hulda Amanda Adolfina",382840,10466
1,2,female,55,16,16,"Hewlett, Mrs. (Mary D Kingcome) ",620985,26040
0,3,male,2,29,17,"Rice, Master. Eugene",823256,30450
1,2,male,,13,18,"Williams, Mr. Charles Eugene",910005,82799
0,3,female,31,18,19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",769693,10580
1,3,female,,7,20,"Masselmani, Mrs. Fatima",10021,92950
0,2,male,35,26,21,"Fynney, Mr. Joseph J",194231,89217
1,2,male,34,13,22,"Beesley, Mr. Lawrence",919515,89823
1,3,female,15,8,23,"McGowan, Miss. Anna ""Annie""",569049,29678
1,1,male,28,36,24,"Sloper, Mr. William Thompson",56016,11674
0,3,female,8,21,25,"Palsson, Miss. Torborg Danira",199701,49289
1,3,female,38,31,26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",398203,65769
0,3,male,,7,27,"Emir, Mr. Farred Chehab",43430,25915
0,1,male,19,263,28,"Fortune, Mr. Charles Alexander",93461,65081
1,3,female,,8,29,"O'Dwyer, Miss. Ellen ""Nellie""",719007,34085
0,3,male,,8,30,"Todoroff, Mr. Lalio",893757,90069
0,1,male,40,28,31,"Uruchurtu, Don. Manuel E",228647,54612
1,1,female,,147,32,"Spencer, Mrs. William Augustus (Marie Eugenie)",161037,97694
1,3,female,,8,33,"Glynn, Miss. Mary Agatha",740343,72248
0,2,male,66,11,34,"Wheadon, Mr. Edward H",710780,63849
0,1,male,28,82,35,"Meyer, Mr. Edgar Joseph",983127,60591
0,1,male,42,52,36,"Holverson, Mr. Alexander Oskar",239801,69536
1,3,male,,7,37,"Mamee, Mr. Hanna",355305,21091
0,3,male,21,8,38,"Cann, Mr. Ernest Charles",358892,844
0,3,female,18,18,39,"Vander Planke, Miss. Augusta Maria",727760,7456
1,3,female,14,11,40,"Nicola-Yarred, Miss. Jamila",750033,70197
0,3,female,40,9,41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",433018,81242
0,2,female,27,21,42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",244713,80023
0,3,male,,8,43,"Kraeff, Mr. Theodor",441314,18013
1,2,female,3,42,44,"Laroche, Miss. Simonne Marie Anne Andree",575471,89022
1,3,female,19,8,45,"Devaney, Miss. Margaret Delia",173725,2980
0,3,male,,8,46,"Rogers, Mr. William John",904362,46485
0,3,male,,16,47,"Lennon, Mr. Denis",779140,85804
1,3,female,,8,48,"O'Driscoll, Miss. Bridget",768880,17440
0,3,male,,22,49,"Samaan, Mr. Youssef",213457,70903
0,3,female,18,18,50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",489873,78487
0,3,male,7,40,51,"Panula, Master. Juha Niilo",613171,24145
0,3,male,21,8,52,"Nosworthy, Mr. Richard Cater",399371,84168
1,1,female,49,77,53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",608686,68965
1,2,female,29,26,54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",760750,63597
0,1,male,65,62,55,"Ostby, Mr. Engelhart Cornelius",143326,60471
1,1,male,,36,56,"Woolner, Mr. Hugh",487187,73814
1,2,female,21,11,57,"Rugg, Miss. Emily",558039,5648
0,3,male,28.5,7,58,"Novel, Mr. Mansouer",157898,56196
1,2,female,5,28,59,"West, Miss. Constance Mirium",589240,46255
0,3,male,11,47,60,"Goodwin, Master. William Frederick",929929,58222
